"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","861","testAlertsPage","All Test Suite","Wed Oct 16 01:51:36 EEST 2024","passed","Wed Oct 16 01:51:37 EEST 2024","alerts.AlertTests","D:/web automation project/WebAutomationProject","alerts.AlertTests","testAlertsPage"
"","917","testRightClick","All Test Suite","Wed Oct 16 01:53:45 EEST 2024","passed","Wed Oct 16 01:53:46 EEST 2024","popUps.MenuTests","D:/web automation project/WebAutomationProject","popUps.MenuTests","testRightClick"
"","734","testBackspace","All Test Suite","Wed Oct 16 01:53:20 EEST 2024","passed","Wed Oct 16 01:53:21 EEST 2024","keys.KeysTests","D:/web automation project/WebAutomationProject","keys.KeysTests","testBackspace"
"","1153","testSelectedOption","All Test Suite","Wed Oct 16 01:52:51 EEST 2024","passed","Wed Oct 16 01:52:52 EEST 2024","dropdown.DropdownTests","D:/web automation project/WebAutomationProject","dropdown.DropdownTests","testSelectedOption"
"","1623","testScrollToFifthParagraph","All Test Suite","Wed Oct 16 01:53:13 EEST 2024","passed","Wed Oct 16 01:53:15 EEST 2024","javaScript.JavaScriptTests","D:/web automation project/WebAutomationProject","javaScript.JavaScriptTests","testScrollToFifthParagraph"
"","635","testGetTextFromAlert","All Test Suite","Wed Oct 16 01:51:37 EEST 2024","passed","Wed Oct 16 01:51:38 EEST 2024","alerts.AlertTests","D:/web automation project/WebAutomationProject","alerts.AlertTests","testGetTextFromAlert"
"","638","testSetInputInAlert","All Test Suite","Wed Oct 16 01:51:38 EEST 2024","passed","Wed Oct 16 01:51:39 EEST 2024","alerts.AlertTests","D:/web automation project/WebAutomationProject","alerts.AlertTests","testSetInputInAlert"
"","58096","testFileUpload","All Test Suite","Wed Oct 16 01:51:47 EEST 2024","passed","Wed Oct 16 01:52:45 EEST 2024","alerts.FileUploadTests","D:/web automation project/WebAutomationProject","alerts.FileUploadTests","testFileUpload"
"","3511","testNavigator","All Test Suite","Wed Oct 16 01:53:34 EEST 2024","passed","Wed Oct 16 01:53:38 EEST 2024","navigation.NavigationTests","D:/web automation project/WebAutomationProject","navigation.NavigationTests","testNavigator"
"","1531","testSlideToWholeNumber","All Test Suite","Wed Oct 16 01:53:52 EEST 2024","passed","Wed Oct 16 01:53:54 EEST 2024","sliders.SliderTests","D:/web automation project/WebAutomationProject","sliders.SliderTests","testSlideToWholeNumber"
"","1586","testFramesPage","All Test Suite","Wed Oct 16 01:52:58 EEST 2024","passed","Wed Oct 16 01:53:00 EEST 2024","frames.FramesTests","D:/web automation project/WebAutomationProject","frames.FramesTests","testFramesPage"
"","914","testHoverUser1","All Test Suite","Wed Oct 16 01:53:06 EEST 2024","passed","Wed Oct 16 01:53:07 EEST 2024","hover.HoverTests","D:/web automation project/WebAutomationProject","hover.HoverTests","testHoverUser1"
"","2243","testSuccessfulLogin","All Test Suite","Wed Oct 16 01:53:26 EEST 2024","passed","Wed Oct 16 01:53:28 EEST 2024","login.LoginTests","D:/web automation project/WebAutomationProject","login.LoginTests","testSuccessfulLogin"
"","1036","testSwitchTab","All Test Suite","Wed Oct 16 01:53:38 EEST 2024","passed","Wed Oct 16 01:53:39 EEST 2024","navigation.NavigationTests","D:/web automation project/WebAutomationProject","navigation.NavigationTests","testSwitchTab"
"","6526","testWaitUntilHidden","All Test Suite","Wed Oct 16 01:53:59 EEST 2024","passed","Wed Oct 16 01:54:06 EEST 2024","wait.WaitTests","D:/web automation project/WebAutomationProject","wait.WaitTests","testWaitUntilHidden"
